site,pop,year,win_meanT_mean,win_meanT_range,gs_meanT_mean,gs_meanT_range
guanella,NorthLower,2023,-9.800680442698512,17.936533259593045,10.093569479558212,13.648673545575093
guanella,NorthLower,2024,-6.855301934291367,14.089666666666666,10.245902292605473,19.717666666666666
guanella,NorthLower,2025,-7.5634935289789205,20.09066666666667,10.84546495031617,17.61627777777778
guanella,NorthUpper,2023,-12.222189879771184,15.775708057763609,4.910492657748634,16.606921491210983
guanella,NorthUpper,2024,-9.2712729285893,14.687888888888887,4.684615239387309,18.642083333333336
guanella,NorthUpper,2025,-9.260741289615462,18.310333333333332,7.080601384049556,18.076458333333335
guanella,SouthLower,2023,-6.287134156130844,10.775749999999999,8.673322801182556,15.625666666666667
guanella,SouthLower,2024,-4.722871388028897,11.101888888888888,8.154059028649542,14.310246890911005
guanella,SouthLower,2025,-5.7271453557480045,15.209833333333334,9.229521341463414,15.00745833333333
guanella,SouthUpper,2023,-8.777731202804217,16.755059136922416,8.868541504037642,16.631286949347896
guanella,SouthUpper,2024,-6.391435691452221,14.84383333333333,7.846270445678228,18.719937699157246
guanella,SouthUpper,2025,-5.634925270921132,10.946416666666666,8.147789634146342,18.067041666666665
guanella,TopLower,2023,-7.032168245166073,10.930583333333333,9.413973230297675,13.402744910834599
guanella,TopLower,2024,-4.80113021681072,12.220073173512649,8.598817590426826,15.492064498869922
guanella,TopLower,2025,-5.198836345017849,12.8665,9.058198780487805,14.853750000000002
guanella,TopUpper,2023,-10.404032784544373,17.080916666666667,7.375187330623306,15.250833333333336
guanella,TopUpper,2024,-7.237316756965945,14.062666666666667,7.2003964109512895,17.801861111111112
guanella,TopUpper,2025,-6.72713037404097,17.0595,8.288511472448059,16.113999999999997
jones,NorthEast,2023,-8.943136757282453,13.273583333333335,8.452917227551538,17.181666666666665
jones,NorthEast,2024,-7.362036829205366,13.840555555555556,7.968156530837792,17.3705
jones,NorthEast,2025,-7.567283313265102,17.598499999999998,8.400390223371932,14.698569444444445
jones,NorthWest,2023,-9.359052165825345,15.138416666666666,9.131869572543469,17.988666666666667
jones,NorthWest,2024,-7.02886263420419,15.133111111111113,8.264069332767503,22.478722222222224
jones,NorthWest,2025,-6.5663473821863905,14.405875,8.904893292682928,14.964916666666667
jones,SouthEast,2023,-7.212722560552031,14.892416666666668,8.648933604336044,16.55216666666667
jones,SouthEast,2024,-4.659932254041967,14.176388888888889,8.633266017396089,20.067584233802496
jones,SouthEast,2025,-4.687278095524784,16.888708333333334,9.5737554200542,16.27991666666667
jones,SouthWest,2023,-6.332339693419164,14.255083333333333,9.293727642276423,16.686916666666665
jones,SouthWest,2024,-4.45190845373237,16.679,8.908966319243003,19.647088845964312
jones,SouthWest,2025,-4.6793329068834035,16.649333333333335,9.925739190687363,16.937083333333334
jones,TopEast,2023,-7.839252909893638,12.505166666666666,8.750418308706083,14.553567171949934
jones,TopEast,2024,-6.193495916510915,16.483952592008222,8.35217326343105,19.9002902855183
jones,TopEast,2025,-6.393071018606118,14.071027777777777,9.709580941529111,16.89581944444444
jones,TopWest,2023,-7.6379833936527834,13.669215065577207,8.647048780336476,14.134265510122532
jones,TopWest,2024,-6.295286184210527,17.191666666666666,8.494305915250806,20.218057109622002
jones,TopWest,2025,-5.779254565522777,12.464222222222222,9.869170926747145,16.417458333333332
niwot,NorthLower,2023,-8.542793294870073,16.925714215383664,9.626407028568272,19.10701391704697
niwot,NorthLower,2024,-6.037641253869969,18.47688888888889,10.908531166581547,19.41816394511094
niwot,NorthLower,2025,-5.935443220410936,19.76375,11.432524035812673,19.318875000000002
niwot,NorthUpper,2023,-7.478672235601043,16.134416666666667,9.91808279040323,18.39175
niwot,NorthUpper,2024,-5.34883918128655,16.84338888888889,10.02202094953772,20.92376898464104
niwot,NorthUpper,2025,-5.527144699587292,19.743166666666667,11.011960200086994,18.00629166666667
niwot,SouthLower,2023,-3.637502159516268,11.229583333333334,11.810803504333446,20.7982159458465
niwot,SouthLower,2024,-3.1190734649122804,15.486666666666668,11.67507647741875,19.939546830884975
niwot,SouthLower,2025,-3.278078642384106,11.930125,13.511558539944902,22.123416666666664
niwot,SouthUpper,2023,-6.396145344170178,15.543416666666667,9.366520325203254,20.027
niwot,SouthUpper,2024,-3.9906196250429997,18.30827777777778,10.790520791604832,19.20964352766288
niwot,SouthUpper,2025,-4.070301926550271,20.18325,12.286676184926186,19.378
niwot,TopLower,2023,-5.140010736504115,18.07175,11.32071409214092,19.642000000000003
niwot,TopLower,2024,-4.517174949942792,18.813583333333334,11.477220015915355,20.803372565842537
niwot,TopLower,2025,-4.293923748436994,18.84358333333333,11.97211673553719,19.23795833333334
niwot,TopUpper,2023,-7.66681437271338,17.0315,10.057033197831979,18.494333333333334
niwot,TopUpper,2024,-5.4365462574457295,18.299055555555555,10.355927042785579,22.017472222222224
niwot,TopUpper,2025,-6.0505773012859105,20.710833333333337,11.175973025711661,17.665833333333335
