plantID,pop,site,elv_pt,pop_slp,est_25,nrt_25,tpi_25,tri_25,plcv_25,prcv_25,aspect.cat
1000,NorthEast,jones,0.5973275303840637,22.65832078830146,0.2766178447638965,0.5342574838050715,-0.00385552107296789,0.0262498773652418,-0.62647292096193,-0.1003189123935149,north
1002,NorthEast,jones,0.4784490168094635,22.65832078830146,0.42009520418618623,0.6978412771574992,-7.363109313949071e-4,0.03521413653107728,0.19600506376314025,0.3142143891302951,north
1001,NorthEast,jones,0.6885735988616943,22.65832078830146,0.3796703716508366,0.5521757613169771,5.070755673004826e-4,0.02085679089687012,0.3870371836651666,0.19618872474210144,north
1037,NorthEast,jones,0.35632064938545227,22.65832078830146,0.0953875121655426,0.7481901462662232,-0.00502507837102567,0.02035736954456729,-0.03996784882976345,-0.6587934698570672,north
1003,NorthEast,jones,0.670449435710907,22.65832078830146,-0.01838916087726331,0.41154865594872625,0.00130306077650075,0.0413694429560434,0.7593546585215541,0.09872545004847724,north
1004,NorthEast,jones,0.6453655362129211,22.65832078830146,0.09566662841616634,0.5818462018455901,-0.01544208570265186,0.02553512647993378,0.2439525742094736,0.18252231765462573,north
1005,NorthEast,jones,0.6616364121437073,22.65832078830146,0.02758903345484754,0.5754103553930401,-0.00999427160201013,0.02708780737030472,0.0675085049158073,0.22216992834281177,north
1006,NorthEast,jones,0.7639830112457275,22.65832078830146,0.2445376956691393,0.6386152186746198,0.00706849843071413,0.0272265982197739,0.6468145935630154,0.528405049906163,north
1007,NorthEast,jones,0.7109788060188293,22.65832078830146,0.25195902798446407,0.7041686284377511,0.02150147440227524,0.03503723684957843,0.6380911101856536,0.523579992226503,north
1008,NorthEast,jones,0.7059873938560486,22.65832078830146,0.25545305650708605,0.7185580144979742,0.02234820829612669,0.03321470058977485,0.4634943101111299,0.3803231361688261,north
1009,NorthEast,jones,0.7778849005699158,22.65832078830146,0.09792619226233308,0.6468159264354179,0.00294274060155525,0.0196061339244764,-0.23777560568958847,0.21084083998869843,north
1010,NorthEast,jones,0.7109634280204773,22.65832078830146,0.19579949157216023,0.6794674498971852,-0.0042484368463975,0.01759310920501214,0.02574410647506614,0.13598362236478387,north
1011,NorthEast,jones,0.7839133143424988,22.65832078830146,0.20474850689023508,0.6457891663920154,-0.00952036848905471,0.02125002207330044,0.07051048709950962,0.1026070530423004,north
1012,NorthEast,jones,0.8333112597465515,22.65832078830146,0.16194922121535343,0.6790886732757093,0.0062253338995189,0.02794263306200721,0.15899871384844877,0.10780129650752872,north
1014,NorthEast,jones,0.7691042423248291,22.65832078830146,0.06349319016195669,0.6779271700449263,-0.01321508251519401,0.03166626108136969,0.01719299702047017,-0.09476469785783127,north
1013,NorthEast,jones,0.7722033858299255,22.65832078830146,0.08943308040210352,0.6572287113084541,-0.01466473221853735,0.02979761097426126,0.1253549910119818,-0.01150430718386574,north
1015,NorthEast,jones,0.712346076965332,22.65832078830146,0.01303954242069073,0.7788372372425234,0.02875890613460531,0.03581615151076622,0.4370382003850756,0.05363748198720108,north
1016,NorthEast,jones,0.747759997844696,22.65832078830146,0.04903485609363896,0.694009627563094,-0.01765410359309059,0.03710930105092538,-0.02837832306501291,-0.31636969758813205,north
1017,NorthEast,jones,0.7605200409889221,22.65832078830146,0.04601271486804542,0.6911081989313617,-0.02370445275214678,0.04102904713053096,0.06785946952918923,-0.04046251757537909,north
1018,NorthEast,jones,0.7101030349731445,22.65832078830146,-0.05575181907756952,0.687501842042991,-0.0152615068431792,0.03976057103986742,0.2728834959252679,-0.7802468016785192,north
1019,NorthEast,jones,0.5864199995994568,22.65832078830146,0.1592891106465547,0.582643813666477,-0.00296866119381829,0.02708560964084645,3.856883927015968e-5,-0.43479219144494746,north
1020,NorthEast,jones,0.6044207215309143,22.65832078830146,0.30133336032387653,0.5731893653054451,-0.00140655032403971,0.02605414229348409,0.3429985322613781,0.12807298271604278,north
1021,NorthEast,jones,0.5958938002586365,22.65832078830146,0.29591118178411296,0.599866226756797,-0.00297301633725897,0.02583540641518362,0.4987281792822645,0.0905186848355977,north
1022,NorthEast,jones,0.5194437503814697,22.65832078830146,-0.07361505870613871,0.6668484762414177,-0.00863940588463144,0.02007244976326887,-0.2154925244378479,-0.23911885582347608,north
1023,NorthEast,jones,0.5031260251998901,22.65832078830146,2.0970508885482457e-4,0.6424866825331013,-0.01609600333858956,0.02250181601227149,-0.2482013912333049,-0.3412568653991599,north
1024,NorthEast,jones,0.4878776967525482,22.65832078830146,0.02278143850108916,0.6681942125232879,-0.01084376835943525,0.01697185113142475,0.03477515540965741,-0.26402537885232674,north
1025,NorthEast,jones,0.5154430270195007,22.65832078830146,0.01105835338776479,0.5610856922272852,-0.00735196426961668,0.01364401835061573,0.0915818788093564,-0.09194820605359372,north
1026,NorthEast,jones,0.498654305934906,22.65832078830146,0.00682392673033126,0.5954450675453246,-0.013647439018409,0.01823904624835645,0.12162946910862156,-0.21258948087371476,north
1027,NorthEast,jones,0.5027160048484802,22.65832078830146,0.01983298928545067,0.5925827601950421,-0.0076997371965631,0.01519322046825381,0.09278906155918988,-0.24031269845334205,north
1028,NorthEast,jones,0.5359071493148804,22.65832078830146,0.03914244057129122,0.5764801256406972,0.01044177872562943,0.01509424095483785,-0.12240121085245707,-0.14357800956467964,north
1029,NorthEast,jones,0.4635349214076996,22.65832078830146,0.0657603901374645,0.6468647210129892,-0.00856297357876871,0.01602456692190783,-0.12698019504608826,0.01181772156261753,north
1030,NorthEast,jones,0.472103476524353,22.65832078830146,0.05953923455110382,0.6223931237621914,-0.01089053550166447,0.01628935413862271,-0.11168320055213928,0.04987137431938436,north
1031,NorthEast,jones,0.4674496054649353,22.65832078830146,0.1354162736921591,0.5756605272032215,-0.00435007004445721,0.01173072217303027,-0.3139270260276516,-0.14587515760683048,north
1032,NorthEast,jones,0.4462709426879883,22.65832078830146,0.1577262352879403,0.5886072684186665,-0.01824242291581648,0.02227708281160309,-0.3715131132599294,-0.07965450034385213,north
1034,NorthEast,jones,0.5206939578056335,22.65832078830146,0.2573050536395095,0.5571303177309386,-0.01090689301219821,0.02873906188035955,0.09643965370390684,-0.8019491204454309,north
